"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C4, C7";"C_0805_2012Metric";3;"100 nF";;;
2;"C2, C8";"C_0805_2012Metric";2;"10 uF";;;
3;"C5, C6";"C_0805_2012Metric";2;"2.2 uF";;;
4;"C9, C10";"C_0805_2012Metric";2;"2.2 nF";;;
5;"D1";"D_SOD-323";1;"1N4148WS";;;
6;"ENC1";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";1;"RotEnc_Sw";;;
7;"J1";"PinSocket_2x20_P2.54mm_Vertical";1;"Raspberry_Pi_2_3";;;
8;"J2, J3";"PinHeader_2x02_P2.54mm_Vertical";2;"Conn_02x02_Odd_Even";;;
9;"J4, J5";"Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal";2;"AudioJack4";;;
10;"L1, L2, L3, L4";"L_0603_1608Metric";4;"L_Ferrite";;;
11;"P1";"PinHeader_1x14_P2.54mm_Vertical";1;"Conn_01x14_Pin";;;
12;"R1, R2";"R_0805_2012Metric";2;"470";;;
13;"R3, R4";"R_0805_2012Metric";2;"1k";;;
14;"R5, R6";"R_2010_5025Metric";2;"22";;;
15;"R7, R8";"R_1206_3216Metric";2;"220";;;
16;"TRS1, TRS2";"Jack_6.35mm_Neutrik_NMJ6HFD4_Horizontal";2;"AudioJack3_Switch";;;
17;"U1";"TSSOP-20_4.4x6.5mm_P0.65mm";1;"PCM5102";;;
18;"U2";"PinSocket_1x16_P2.54mm_Vertical";1;"LCD1602";;;
19;"U3";"SMDIP-6_W9.53mm";1;"H11L1";;;
20;"VR1";"Potentiometer_Piher_PT-6-V_Vertical";1;"10k";;;
